,ReferenceID,SubjectCount,Species,Strain,Sex,Age,Implant_Region,Implant_Location,Device_Category,Devices_per_subject,Devices_total,Devices_per_subject_average,Implant_duration_days,Implant_duration_weeks,Implant_duration_months
29,"Knaack, G 2016",5,Rat,Long-Evans,Female,Not Reported,Brain,Motor Cortex,Intracortical,1,5,1,56,8.0,2
30,"Lin, C 2020",3,Rabbit,Not Reported,Not Reported,Not Reported,Skin,Subcutaneous,Material Sample,4,12,4,84,12.0,3
31,"Lei, X 2016",3,Rat,Sprague-Dawley,Not Reported,Not Reported,Eye,Sub-Retinal,Retinal,1,3,1,112,16.0,4
32,"Nguyen, C 2024a",1,Rat,Sprague-Dawley,Not Reported,Not Reported,Brain,Motor Cortex,Intracortical,1,1,1,168,24.0,6
33,"Nguyen, T 2022a",1,Rat,Sprague-Dawley,Not Reported,Not Reported,Nerve,Sciatic Nerve (Left),Extraneural,1,1,1,1,0.0,0
34,"Nguyen, T 2022b",3,Rat,Wistar,Male,3 Months,Nerve,Sciatic Nerve (Right),Extraneural,1,3,1,1,0.0,0
35,"Saddow, S 2014a",1,Pig,Not Reported,Not Reported,Not Reported,Skin,Subcutaneous,Material Sample,12,12,12,30,4.3,1
36,"Usoro, J 2019",8,Rat,Long-Evans,Male,9-15 Weeks,Brain,Motor Cortex,Intracortical,1,8,1,210,30.0,7
37,"Vomero, M 2017a",1,Rat,Long Evans,Not Reported,Not Reported,Brain,Somatosensory Cortex,ECoG,1,1,1,42,6.0,1
38,"Vomero, M 2017b",3,Rat,Long Evans,Not Reported,Not Reported,Brain,Somatosensory Cortex,ECoG,1,3,1,42,6.0,1
39,"Vomero, M 2017b",3,Rat,Wistar,Not Reported,Adult,Brain,Somatosensory Cortex,ECoG,1,3,1,42,6.0,1
