,refID,doi,pubmed_id,title,authors,journal,year,month,day,pub_decade,Reported_SiC,Reported_Category,Reported_Data
90,"Gonzalez-Gonzalez, M 2023",10.1109/NER52421.2023.10123843,<NA>,Intraneural SiC multi electrodes to detect multimodal sensory signals,"Gonzalez-Gonzalez, M. A. and Ghazavi, A. and Cogan, S. and Romero-Ortega, M. ",2023 11th International IEEE/EMBS Conference on Neural Engineering (NER),2023,4.0,,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication']"
92,"Haghighi, P 2025",10.3390/mi16020113,40047565,Enhanced Performance of Novel Amorphous Silicon Carbide Microelectrode Arrays in Rat Motor Cortex,"Haghighi, P and Jeakle, EN and Sturgill, BS and Abbott, JR and Solis, E and Devata, VS and Vijayakumar, G and Hernandez-Reynoso, AG and Cogan, SF and Pancrazio, JJ",Micromachines,2025,1.0,21.0,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
114,"Jeakle, E 2023",10.3390/mi14030680,36985087,Chronic Stability of Local Field Potentials Using Amorphous Silicon Carbide Microelectrode Arrays Implanted in the Rat Motor Cortex,"Jeakle, EN and Abbott, JR and Usoro, JO and Wu, Y and Haghighi, P and Radhakrishna, R and Sturgill, BS and Nakajima, S and Thai, TTD and Pancrazio, JJ and Cogan, SF and Hernandez-Reynoso, AG",Micromachines,2023,3.0,19.0,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
115,"Jeakle, E 2024",10.1109/EMBC53108.2024.10781643,<NA>,Tracking single units across time using 16-channel microelectrode arrays,"Jeakle, E. N. and Abbott, J. R. and Smith, T. J. and Cogan, S. F. and Hernandez-Reynoso, A. G. and Pancrazio, J. J.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2024,7.0,15.0,2020,['a-SiC'],['Neural'],['Animal']
117,"Joshi-Imre, A 2019",10.1088/1741-2552/ab1bc8,31013489,Chronic recording and electrochemical performance of amorphous silicon carbide-coated Utah electrode arrays implanted in rat motor cortex,"Joshi-Imre, A and Black, BJ and Abbott, J and Kanneganti, A and Rihani, R and Chakraborty, B and Danda, VR and Maeng, J and Sharma, R and Rieth, L and Negi, S and Pancrazio, JJ and Cogan, SF",Journal of neural engineering,2019,7.0,10.0,2010,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
119,"Khajehzadeh, M 2025",10.1088/1741-2552/addb79,40398441,"Amorphous silicon carbide probe mechanics for insertion in the cerebral cortex of rats, pigs, and macaques.","Khajehzadeh, M and Geramifard, N and Abbott, JR and Wu, Y and Tirumala Kumara, S and Thai, T and Hernandez-Reynoso, AG and Joshi-Imre, A and Blum, KP and Miller, LE and Pascual, JM and Pancrazio, JJ and Cogan, SF",Journal of neural engineering,2025,6.0,3.0,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
126,"Knaack, G 2016",10.3389/fnins.2016.00301,27445672,In vivo Characterization of Amorphous Silicon Carbide As a Biomaterial for Chronic Neural Interfaces,"Knaack, GL and McHail, DG and Borda, G and Koo, B and Peixoto, N and Cogan, SF and Dumas, TC and Pancrazio, JJ",Frontiers in neuroscience,2016,6.0,27.0,2010,['a-SiC'],['Neural'],"['Animal', 'Fabrication']"
130,"Lei, X 2016",10.1088/1741-2560/13/4/046016,27323882,SiC protective coating for photovoltaic retinal prosthesis,"Lei, X and Kane, S and Cogan, S and Lorach, H and Galambos, L and Huie, P and Mathieson, K and Kamins, T and Harris, J and Palanker, D",Journal of neural engineering,2016,6.0,21.0,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties']"
134,"Lin, C 2020",10.3390/mi11121064,33266050,Bio-Compatibility and Bio-Insulation of Implantable Electrode Prosthesis Ameliorated by A-174 Silane Primed Parylene-C Deposited Embedment,"Lin, CY and Lou, WS and Chen, JC and Weng, KY and Shih, MC and Hung, YW and Chen, ZY and Wang, MC",Micromachines,2020,11.0,30.0,2020,['a-SiC'],['Neural'],"['Animal', 'Benchtop', 'In Vitro', 'Ex Vivo']"
163,"Nguyen, C 2024a",10.1109/EMBC53108.2024.10781825,<NA>,Analyzing Voltage Transients Under Different Stimulation Configurations and Rates in Rat Cortex,"Nguyen, C. K. and Sturgill, B. S. and Negi, S. and Cogan, S. F.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2024,7.0,15.0,2020,['a-SiC'],['Neural'],"['Animal', 'Benchtop']"
165,"Nguyen, T 2022a",10.1021/acsnano.2c03188,35816450,"Integrated, Transparent Silicon Carbide Electronics and Sensors for Radio Frequency Biomedical Therapy","Nguyen, TK and Yadav, S and Truong, TA and Han, M and Barton, M and Leitch, M and Guzman, P and Dinh, T and Ashok, A and Vu, H and Dau, V and Haasmann, D and Chen, L and Park, Y and Do, TN and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",ACS nano,2022,7.0,26.0,2020,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
166,"Nguyen, T 2022b",10.1073/pnas.2203287119,35939711,"Wide bandgap semiconductor nanomembranes as a long-term biointerface for flexible, implanted neuromodulator","Nguyen, TK and Barton, M and Ashok, A and Truong, TA and Yadav, S and Leitch, M and Nguyen, TV and Kashaninejad, N and Dinh, T and Hold, L and Yamauchi, Y and Nguyen, NT and Phan, HP",Proceedings of the National Academy of Sciences of the United States of America,2022,8.0,16.0,2020,['Other'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
181,"Saddow, S 2014a",10.1149/06107.0101ecst,<NA>,3C-SiC on Si: A Biocompatible Material for Advanced Bioelectronic Devices,"Saddow, SE and Frewin, CL and Reyes, M and Register, J and Nezafati, M and Thomas, S",Micromachines,2014,5.0,14.0,2010,['3C-SiC'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
182,"Saddow, S 2014b",10.1109/NMDC.2014.6997419,<NA>,3C-SiC on Si: A bio- and hemo-compatible material for advanced nano-bio devices,"Saddow, S. E. and Frewin, C. L. and Nezafati, M. and Oliveros, A. and Afroz, S. and Register, J. and Reyes, M. and Thomas, S.",2014 IEEE 9th Nanotechnology Materials and Devices Conference (NMDC),2014,12.0,29.0,2010,"['a-SiC', '3C-SiC']","['Neural', 'Biosensors']","['Animal', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
195,"Usoro, J 2019",10.1088/2057-1976/ab4c02,<NA>,Chronic stability of local field potentials from standard and modified Blackrock microelectrode arrays implanted in the rat motor cortex,"Usoro, JO and Shih, E and Black, BJ and Rihani, RT and Abbott, J and Chakraborty, B and Pancrazio, JJ and Cogan, SF",BIOMEDICAL PHYSICS & ENGINEERING EXPRESS,2019,10.0,18.0,2010,['a-SiC'],['Neural'],"['Animal', 'Benchtop']"
199,"Vomero, M 2017a",10.1109/NER.2017.8008347,<NA>,Improved long-term stability of thin-film glassy carbon electrodes through the use of silicon carbide and amorphous carbon,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Fadiga, L and Ricci, D and  Kassegne, S and Stieglitz, T",2017 8th International IEEE/EMBS Conference on Neural Engineering (NER),2017,5.0,,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
200,"Vomero, M 2017b",10.1002/adbi.201700081,<NA>,Incorporation of Silicon Carbide and Diamond-Like Carbon as Adhesion Promoters Improves In Vitro and In Vivo Stability of Thin-Film Glassy Carbon Electrocorticography Arrays,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Ciarpella, F and Cea, C and Fadiga, L and Ricci, D and Kassegne, S and Stieglitz, T",ADVANCED BIOSYSTEMS,2017,11.0,,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
