,refID,doi,pubmed_id,title,authors,journal,year,month,day,FullText,pub_decade,Reported_SiC,Reported_Category,Reported_Data
67,"Feng, C 2021a",10.1007/978-3-030-65261-6_70,,Silicon carbide biotechnology: carbon-based neural interfaces.,"Feng, CY and Beygi, M and Frewin, CL and Tanjil, MRE and Kumar, A and Wang, MC and Saddow, SE",TMS 2021 150th Annual Meeting & Exhibition Supplemental Proceedings,2021,2.0,,Y,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication']"
68,"Feng, C 2021b",10.3390/mi12070821,34357231.0,A flexible a-SiC-based neural interface utilizing pyrolyzed-photoresist film (C) active sites.,"Feng, C and Frewin, CL and Tanjil, MR and Everly, R and Bieber, J and Kumar, A and Wang, MC and Saddow, SE",Micromachines,2021,7.0,13.0,Y,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
71,"Frewin, C 2009",10.1002/jmr.966,19585542.0,Atomic force microscopy analysis of central nervous system cell morphology on silicon carbide and diamond substrates.,"Frewin, CL and Jaroszeski, M and Weeber, E and Muffly, KE and Kumar, A and Peters, M and Oliveros, A and Saddow, SE",Journal of Molecular Recognition : JMR,2009,9.0,,Y,2000,['3C-SiC'],['Neural'],"['Material Properties', 'Benchtop', 'In Vitro']"
74,"Frewin, C 2016",10.1149/07512.0039ecst,,Silicon carbide as a robust neural interface (invited).,"Frewin, CL and Bernardin, E and Deku, F and Everly, R and Ul Hassan, J and Pancrazio, JJ and Saddow, SE",ECS Transactions,2016,,,Y,2010,"['a-SiC', '4H-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
76,"Gavalas, M 2025",10.3390/coatings15010106,,Temperature influence on the deposition of nitrogen-doped silicon carbide polycrystalline films.,"Gavalas, M and Greenhorn, S and Mercier, F and Zekentes, K",Coatings,2025,1.0,,Y,2020,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
80,"Geramifard, N 2024",10.1021/acsami.4c11773,39476818.0,Flexible and extensible ribbon-cable interconnects for implantable electrical neural interfaces.,"Geramifard, N and Khajehzadeh, M and Dousti, B and Abbott, JR and Nguyen, CK and Hernandez-Reynoso, AG and Joshi-Imre, A and Varner, VD and Cogan, SF",ACS Applied Materials and Interfaces,2024,10.0,30.0,Y,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
104,"Hsu, J 2007",10.1016/j.tsf.2007.04.050,18437249.0,Characterization of a-SiC(x):H thin films as an encapsulation material for integrated silicon based neural interface devices.,"Hsu, JM and Tathireddy, P and Rieth, L and Normann, AR and Solzbacher, F",Thin Solid Films,2007,11.0,1.0,Y,2000,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
105,"Hsu, J 2008",10.18494/SAM.2008.515,,"Effect of thermal and deposition processes on surface morphology, crystallinity, and adhesion of Parylene-C.","Hsu, JM and Rieth, L and Kammer, S and Orthner, M and Solzbacher, F",Sensors and Materials,2008,2.0,4.0,Y,2000,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
117,"Khajehzadeh, M 2025",10.1088/1741-2552/addb79,40398441.0,"Amorphous silicon carbide probe mechanics for insertion in the cerebral cortex of rats, pigs, and macaques.","Khajehzadeh, M and Geramifard, N and Abbott, JR and Wu, Y and Tirumala Kumara, S and Thai, T and Hernandez-Reynoso, AG and Joshi-Imre, A and Blum, KP and Miller, LE and Pascual, JM and Pancrazio, JJ and Cogan, SF",Journal of Neural Engineering,2025,6.0,3.0,Y,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
123,"Klein, E 2018",10.3389/fnins.2018.00659,30327585.0,High-density μLED-based optical cochlear implant with improved thermomechanical behavior.,"Klein, E and Gossler, C and Paul, O and Ruther, P",Frontiers in Neuroscience,2018,10.0,1.0,Y,2010,['Other'],['Neural'],"['Material Properties', 'Fabrication']"
