,refID,doi,pubmed_id,title,authors,journal,year,month,day,pub_decade,Reported_SiC,Reported_Category,Reported_Data
70,"Feng, C 2021b",10.3390/mi12070821,34357231,A Flexible a-SiC-Based Neural Interface Utilizing Pyrolyzed-Photoresist Film (C) Active Sites,"Feng, C. and Frewin, C.L. and Tanjil, M.R. and Everly, R. and Bieber, J. and Kumar, A. and Wang, M.C. and Saddow, S.E.",Micromachines,2021,7.0,13.0,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
73,"Frewin, C 2009",10.1002/jmr.966,19585542,Atomic force microscopy analysis of central nervous system cell morphology on silicon carbide and diamond substrates,"Frewin, CL and Jaroszeski, M and Weeber, E and Muffly, KE and Kumar, A and Peters, M and Oliveros, A and Saddow, SE",Journal of molecular recognition : JMR,2009,9.0,,2000,['3C-SiC'],['Neural'],"['Material Properties', 'Benchtop', 'In Vitro']"
76,"Frewin, C 2016",10.1149/07512.0039ecst,<NA>,Silicon Carbide As a Robust Neural Interface (Invited),"Frewin, CL and Bernardin, E and Deku, F and Everly, R and Ul Hassan, J and Pancrazio, JJ and Saddow, SE",GALLIUM NITRIDE AND SILICON CARBIDE POWER TECHNOLOGIES 6,2016,,,2010,"['a-SiC', '4H-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
78,"Gavalas, M 2025",10.3390/coatings15010106,<NA>,Temperature Influence on the Deposition of Nitrogen-Doped Silicon Carbide Polycrystalline Films,"Gavalas, M and Greenhorn, S and Mercier, F and Zekentes, K",COATINGS,2025,1.0,,2020,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
79,"Gazziro, M 2015",10.1109/EMBC.2015.7319537,<NA>,Transmission of wireless neural signals through a 0.18µm CMOS low-power amplifier,"Gazziro, M and Braga, C. F. R. and Moreira, D. A.  and Carvalho, A. C. P. L. F. and  Rodrigues, J. F. and Navarro, J. S. and Ardila, J. C. M. and Mioni, D. P.  and  Pessatti, M. and Fabbro, P.  and Freewin, C. and Saddow, S. E.",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2015,,,2010,"['a-SiC', '3C-SiC']",['Neural'],['Benchtop']
80,"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,35263724,Insertion mechanics of amorphous SiC ultra-micro scale neural probes,"Geramifard, N. and Dousti, B. and Nguyen, C. and Abbott, J. and Cogan, S.F. and Varner, V.D.",Journal of neural engineering,2022,4.0,8.0,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
81,"Geramifard, N 2022b",10.3390/mi13101692,36296045,A Novel 3D Helical Microelectrode Array for In Vitro Extracellular Action Potential Recording,"Geramifard, N and Lawson, J and Cogan, SF and Black, BJ",Micromachines,2022,10.0,8.0,2020,['a-SiC'],['Neural'],"['Fabrication', 'Benchtop', 'In Vitro']"
82,"Geramifard, N 2024",10.1021/acsami.4c11773,<NA>,Flexible and Extensible Ribbon-Cable Interconnects for Implantable Electrical Neural Interfaces,"Geramifard, N and Khajehzadeh, M and Dousti, B and Abbott, JR and Nguyen, CK and Hernandez-Reynoso, AG and Joshi-Imre, A and Varner, VD and Cogan, SF",ACS APPLIED MATERIALS & INTERFACES,2024,10.0,30.0,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
83,"Ghazavi, A 2020",10.1016/j.bios.2020.112608,33035896,Intraneural ultramicroelectrode arrays for function-specific interfacing to the vagus nerve,"Ghazavi, A and Gonzalez-Gonzalez, MA and Romero-Ortega, MI and Cogan, SF ",Biosensors & bioelectronics,2020,9.0,22.0,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
92,"Haghighi, P 2025",10.3390/mi16020113,40047565,Enhanced Performance of Novel Amorphous Silicon Carbide Microelectrode Arrays in Rat Motor Cortex,"Haghighi, P and Jeakle, EN and Sturgill, BS and Abbott, JR and Solis, E and Devata, VS and Vijayakumar, G and Hernandez-Reynoso, AG and Cogan, SF and Pancrazio, JJ",Micromachines,2025,1.0,21.0,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
106,"Hsu, J 2007",10.1016/j.tsf.2007.04.050,18437249,Characterization of a-SiC(x):H thin films as an encapsulation material for integrated silicon based neural interface devices,"Hsu, JM and Tathireddy, P and Rieth, L and Normann, AR and Solzbacher, F",Thin solid films,2007,11.0,1.0,2000,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
