,refID,doi,pubmed_id,title,authors,journal,year,month,day,FullText,pub_decade,Reported_SiC,Reported_Category,Reported_Data
163,"Nguyen, T 2022a",10.1021/acsnano.2c03188,35816450.0,"Integrated, transparent silicon carbide electronics and sensors for radio frequency biomedical therapy.","Nguyen, TK and Yadav, S and Truong, TA and Han, M and Barton, M and Leitch, M and Guzman, P and Dinh, T and Ashok, A and Vu, H and Dau, V and Haasmann, D and Chen, L and Park, Y and Do, TN and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",ACS Nano,2022,7.0,26.0,Y,2020,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
179,"Saddow, S 2014a",10.1149/06107.0101ecst,,3C-SiC on Si: A biocompatible material for advanced bioelectronic devices.,"Saddow, SE and Frewin, CL and Reyes, M and Register, J and Nezafati, M and Thomas, S",Micromachines,2014,5.0,14.0,Y,2010,['3C-SiC'],"['Neural', 'Biosensors']","['Animal', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
180,"Saddow, S 2014b",10.1109/NMDC.2014.6997419,,3C-SiC on Si: A bio- and hemo-compatible material for advanced nano-bio devices.,"Saddow, SE and Frewin, CL and Nezafati, M and Oliveros, A and Afroz, S and Register, J and Reyes, M and Thomas, S",2014 IEEE 9th Nanotechnology Materials and Devices Conference (NMDC),2014,12.0,29.0,Y,2010,"['a-SiC', '3C-SiC']","['Neural', 'Biosensors']","['Animal', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
