refID,doi,year,pub_decade,SiC_type,Sample_substrate,Sample_count,Control_material,Sterilization_method,Cell_species,Cell_origin,Cell_type,Culture_medium,Culture_duration_(days),Treatment,Assay,Readout,Readout_standard_used,Histology_antibodies,MainResult
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,4H-SiC,,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Fibroblasts (BJ),"EMEM, 10% FBS",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,4H-SiC,,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Keratinocytes (HaCaT),"DMEM, 10% FBS ",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,6H-SiC,,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Mouse,,Melanoma (B16-F10),"McCoy's Modified Medium, 10% FBS",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,6H-SiC,,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Fibroblasts (BJ),"EMEM, 10% FBS",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,6H-SiC,,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Keratinocytes (HaCaT),"DMEM, 10% FBS ",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
"Frewin, C 2009",10.1002/jmr.966,2009,2000,3C-SiC,,12,Silicon,"Acid piranha, saline",Human,Immortalized,Neuroglioma (H4),"DMEM, FBS",4,None,MTT,Cell Viability,NotReported,None,"High viability, comparable to positive control"
"Frewin, C 2009",10.1002/jmr.966,2009,2000,3C-SiC,,12,Silicon,"Acid piranha, saline",Rat,Immortalized,Pheochromocytoma (PC12),"F-12K, FBS, Horse Serum",4,None,MTT,Cell Morphology,NotReported,None,Strong attachment
"Geramifard, N 2022b",10.3390/mi13101692,2022,2020,a-SiC,,,,Not Reported,Human,iPSC-Derived,Sensory Neuron,"Collagen, Stem Cell Qualified ECM Gel",28,None,Immunocytochemistry,"Cell Viability, Extracellular Action Potentials",NotReported,"DAPI, NF200",No cell death
"Geramifard, N 2022b",10.3390/mi13101692,2022,2020,a-SiC,,,,Not Reported,Human,iPSC-Derived,Sensory Neuron,"Collagen, Stem Cell Qualified ECM Gel",28,50uM tetrodotoxin (TTX),Immunocytochemistry,"Cell Viability, Extracellular Action Potentials",NotReported,"DAPI, NF200",No cell death
"Geramifard, N 2022b",10.3390/mi13101692,2022,2020,a-SiC,,,,Not Reported,Human,iPSC-Derived,Sensory Neuron,"Collagen, Stem Cell Qualified ECM Gel",28,25uM potassium chloride (KCl),Immunocytochemistry,"Cell Viability, Extracellular Action Potentials",NotReported,"DAPI, NF200",No cell death
