,refID,doi,pubmed_id,title,authors,journal,year,month,day,pub_decade,Reported_SiC,Reported_Category,Reported_Data
119,"Khajehzadeh, M 2025",10.1088/1741-2552/addb79,40398441,"Amorphous silicon carbide probe mechanics for insertion in the cerebral cortex of rats, pigs, and macaques.","Khajehzadeh, M and Geramifard, N and Abbott, JR and Wu, Y and Tirumala Kumara, S and Thai, T and Hernandez-Reynoso, AG and Joshi-Imre, A and Blum, KP and Miller, LE and Pascual, JM and Pancrazio, JJ and Cogan, SF",Journal of neural engineering,2025,6.0,3.0,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
125,"Klein, E 2018",10.3389/fnins.2018.00659,30327585,High-Density μLED-Based Optical Cochlear Implant With Improved Thermomechanical Behavior,"Klein, E and Gossler, C and Paul, O and Ruther, P",Frontiers in neuroscience,2018,10.0,1.0,2010,['Other'],['Neural'],"['Material Properties', 'Fabrication']"
127,"Kuliasha, C 2018",10.1109/EMBC.2018.8513458,30441478,in vitro Reactive-Accelerated-Aging (RAA) Assessment of Tissue-Engineered Electronic Nerve Interfaces (TEENI),"Kuliasha, C. A. and Judy, J. W.",2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2018,7.0,,2010,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
128,"Kuliasha, C 2021",10.1002/admt.202100149,34632047,The Materials Science Foundation Supporting the Microfabrication of Reliable Polyimide-Metal Neuroelectronic Interfaces,"Kuliasha, CA and Judy, JW",Advanced materials technologies,2021,5.0,3.0,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication']"
130,"Lei, X 2016",10.1088/1741-2560/13/4/046016,27323882,SiC protective coating for photovoltaic retinal prosthesis,"Lei, X and Kane, S and Cogan, S and Lorach, H and Galambos, L and Huie, P and Mathieson, K and Kamins, T and Harris, J and Palanker, D",Journal of neural engineering,2016,6.0,21.0,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties']"
151,"Mittnacht, A 2019",10.1109/NER.2019.8717179,<NA>,Stability of polyimide integrated ITO electrodes,"Mittnacht, A. and Alt, M. T. and Stieglitz, T.  and Eickenscheidt, M.",2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),2019,3.0,,2010,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
161,"Nguyen, C 2021",10.1109/EMBC46164.2021.9629701,<NA>,Evaluation of Amorphous Silicon Carbide on Utah Electrode Arrays by Thermal Accelerated Aging,"Nguyen, C. K. and Abbott , J. R. and  Negi , S. and Cogan, S. F. ",2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),2021,,,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
165,"Nguyen, T 2022a",10.1021/acsnano.2c03188,35816450,"Integrated, Transparent Silicon Carbide Electronics and Sensors for Radio Frequency Biomedical Therapy","Nguyen, TK and Yadav, S and Truong, TA and Han, M and Barton, M and Leitch, M and Guzman, P and Dinh, T and Ashok, A and Vu, H and Dau, V and Haasmann, D and Chen, L and Park, Y and Do, TN and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",ACS nano,2022,7.0,26.0,2020,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
166,"Nguyen, T 2022b",10.1073/pnas.2203287119,35939711,"Wide bandgap semiconductor nanomembranes as a long-term biointerface for flexible, implanted neuromodulator","Nguyen, TK and Barton, M and Ashok, A and Truong, TA and Yadav, S and Leitch, M and Nguyen, TV and Kashaninejad, N and Dinh, T and Hold, L and Yamauchi, Y and Nguyen, NT and Phan, HP",Proceedings of the National Academy of Sciences of the United States of America,2022,8.0,16.0,2020,['Other'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
173,"Panday, R 2006",10.4028/www.scientific.net/MSF.527-529.1107,<NA>,Mechanical testing of flexible silicon carbide interconnect ribbons,"Panday, R and Fu, XA and Rajgopal, S and Lisby, T and Nikles, SA and Najafi, K and Mehregany, M","SILICON CARBIDE AND RELATED MATERIALS 2005, PTS 1 AND 2",2006,10.0,1.0,2000,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
174,"Pham, T 2020",10.1002/adfm.202004655,<NA>,A Versatile Sacrificial Layer for Transfer Printing of Wide Bandgap Materials for Implantable and Stretchable Bioelectronics,"Pham, TA and Nguyen, TK and Vadivelu, RK and Dinh, T and Qamar, A and Yadav, S and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",ADVANCED FUNCTIONAL MATERIALS,2020,9.0,4.0,2020,['Other'],"['Neural', 'Biosensors', 'Cardio']","['Material Properties', 'Fabrication', 'Benchtop']"
178,"Reyes, M 2013",10.1149/05804.0119ecst,<NA>,3C-SiC on Si Hetero-epitaxial Growth for Electronic and Biomedical Applications,"Reyes, M and Frewin, CL and Ward, PJ and Saddow, SE",GALLIUM NITRIDE AND SILICON CARBIDE POWER TECHNOLOGIES 3,2013,,,2010,['3C-SiC'],"['Neural', 'Biosensors']","['Material Properties', 'Fabrication']"
181,"Saddow, S 2014a",10.1149/06107.0101ecst,<NA>,3C-SiC on Si: A Biocompatible Material for Advanced Bioelectronic Devices,"Saddow, SE and Frewin, CL and Reyes, M and Register, J and Nezafati, M and Thomas, S",Micromachines,2014,5.0,14.0,2010,['3C-SiC'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
199,"Vomero, M 2017a",10.1109/NER.2017.8008347,<NA>,Improved long-term stability of thin-film glassy carbon electrodes through the use of silicon carbide and amorphous carbon,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Fadiga, L and Ricci, D and  Kassegne, S and Stieglitz, T",2017 8th International IEEE/EMBS Conference on Neural Engineering (NER),2017,5.0,,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
200,"Vomero, M 2017b",10.1002/adbi.201700081,<NA>,Incorporation of Silicon Carbide and Diamond-Like Carbon as Adhesion Promoters Improves In Vitro and In Vivo Stability of Thin-Film Glassy Carbon Electrocorticography Arrays,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Ciarpella, F and Cea, C and Fadiga, L and Ricci, D and Kassegne, S and Stieglitz, T",ADVANCED BIOSYSTEMS,2017,11.0,,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
206,"Wu, K 2024",10.1002/adma.202310201,38320746,Optical Monitoring of Water Side Permeation in Thin Film Encapsulation,"Wu, K. and Mariello, M. and Leterrier, Y. and Lacour, SP",Advanced materials,2024,6.0,,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
