refID,doi,pubmed_id,title,authors,journal,year,month,day,SiC_label_count,SiC_Type,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,Category_label_count,Category,NeuralEng,Biosensor,Cardiovascular,Orthopedic_Dental,DrugRelease,GeneralImplants_OtherTech,Data_label_count,Data_Reported,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,Benchtop,CellCulture_InVitro,ExVivo
"Azem, F 2015",10.1177/0954411915578886,25934259,Effect of SiC interlayer between Ti6Al4V alloy and hydroxyapatite films,"Azem, FA and Birlik, I and Braic, V and Toparli, M and Celik, E and Parau, A and Kiss, A and Titorencu, I and Vladescu, A","Proceedings of the Institution of Mechanical Engineers. Part H, Journal of           engineering in medicine",2015,4,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"MaterialProperties,CellCulture",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"Babaroud, N 2020",10.1109/EMBC44109.2020.9175646,33018733,PDMS-Parylene Adhesion Improvement via Ceramic Interlayers to Strengthen the Encapsulation of Active Neural Implants,"Babaroud, NB and Dekker, R and Serdijn, W and Giagka, V",2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),2020,7,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Fabrication,MaterialProperties",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Barillet, S 2010",10.1016/j.toxlet.2010.07.009,20655996,"In vitro evaluation of SiC nanoparticles impact on A549 pulmonary cells: cyto-, genotoxicity and oxidative stress","Barillet, S and Jugan, ML and Laye, M and Leconte, Y and Herlin-Boime, N and Reynaud, C and Carriere, M",Toxicology letters,2010,10,20,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Bernardin, E 2018",10.3390/mi9080412,30424345,Demonstration of a Robust All-Silicon-Carbide Intracortical Neural Interface,"Bernardin, EK and Frewin, CL and Everly, R and Ul Hassan, J and Saddow, SE",Micromachines,2018,8,18,2,"a-SiC,4H-SiC",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,Benchtop",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Berthold, A 2002",10.1002/1522-2683(200210)23:20<3511::AID-ELPS3511>3.0.CO;2-C,12412119,Fabrication of a glass-implemented microcapillary electrophoresis device with integrated contactless conductivity detection,"Berthold, A and Laugere, F and Schellevis, H and de Boer, CR and Laros, M and Guijt, RM and Sarro, PM and Vellekoop, MJ",Electrophoresis,2002,10,30,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"Fabrication,MaterialProperties,Benchtop",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Beygi, M 2018",10.1109/SECON.2018.8478972,,Neural Implant Materials: Safety Evaluation in Implanted Neural Probes Under MRI,"Beygi, M.and Mumcu, G.and Saddow, S. E. ",SoutheastCon 2018,2018,,,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,MaterialProperties,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Beygi, M 2019",10.3390/mi10070430,31261887,Fabrication of a Monolithic Implantable Neural Interface from Cubic Silicon Carbide,"Beygi, M and Bentley, JT and Frewin, CL and Kuliasha, CA and Takshi, A and Bernardin, EK and La Via, F and Saddow, SE",Micromachines,2019,6,29,2,"a-SiC,3C-SiC",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,Benchtop",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Beygi, M 2021",10.3390/mi12020126,33530350,Silicon Carbide and MRI: Towards Developing a MRI Safe Neural Interface,"Beygi, M. and Dominguez-Viqueira, W. and Feng, C. and Mumcu, G. and Frewin, C.L. and La Via, F. and Saddow, S.E.",Micromachines,2021,1,26,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Fabrication,MaterialProperties",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Bolz, A 1990",10.1111/j.1525-1594.1990.tb02967.x,2396923,Artificial heart valves: improved blood compatibility by PECVD a-SiC:H coating,"Bolz, A and Schaldach, M",Artificial organs,1990,8,14,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,"Fabrication,MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Bolz, A 1993",10.1007/BF02446660,8231315,Haemocompatibility optimisation of implants by hybrid structuring,"Bolz, A and Schaldach, M",Medical & biological engineering & computing,1993,7,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"Fabrication,MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Bolz, A 1996",https://pmc.ncbi.nlm.nih.gov/articles/PMC325330/,8792547,Coating of cardiovascular stents with a semiconductor to improve their hemocompatibility,"Bolz, A and Amon, M and Ozbek, C and Heublein, B and Schaldach, M",Texas Heart Institute Journal ,1996,,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,"Fabrication,Benchtop,CellCulture,InVivo_Animal,InVivo_Human",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Bonaventura, G 2019",10.1038/s41598-019-48041-3,31395932,Biocompatibility between Silicon or Silicon Carbide surface and Neural Stem Cells,"Bonaventura, G and Iemmolo, R and La Cognata, V and Zimbone, M and La Via, F and Fragala, ME and Barcellona, ML and Pellitteri, R and Cavallaro, S",Scientific reports,2019,8,8,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,CellCulture",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Bouravleuv, A 2024",10.1134/S1063782624030035,,Top-Down Formation of Biocompatible SiC Nanotubes,"Bouravleuv, AD and Kazakin, AN and Nashchekina, YA and Nashchekin, AV and Ubyyvovk, EV and Astrahanceva, VA and Osipov, AV and Svyatec, GV and Kukushkin, SA",SEMICONDUCTORS,2024,9,4,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"Fabrication,MaterialProperties",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Bruckmann, H 1980",10.1016/0142-9612(80)90003-4,7470559,"Carbon, a promising material in endoprosthetics. part 2: tribological properties","Bruckmann, H and Keuscher, G and Hattinger, KJ",Biomaterials,1980,4,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"MaterialProperties,Benchtop",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Calderon, P 2022",10.3390/jfb13040247,36412888,Effect of Silicon Carbide Coating on Osteoblast Mineralization of Anodized Titanium Surfaces,"Calderon, PDS and Rocha, FRG and Xia, X and Camargo, SEA and Pascoal, ALB and Chiu, CW and Ren, F and Ghivizzani, S and Esquivel-Upshaw, JF",Journal of functional biomaterials,2022,11,16,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,CellCulture,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Camargo, S 2020",10.3390/jfb11020042,32560139,Novel Coatings to Minimize Bacterial Adhesion and Promote Osteoblast Activity for Titanium Implants,"Camargo, SEA and Roy, T and Carey, Iv PH and Fares, C and Ren, F and Clark, AE and Esquivel-Upshaw, JF",Journal of functional biomaterials,2020,6,20,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CellCulture,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Camargo, S 2021a",10.3390/ma14020342,33445481,Novel Coatings to Minimize Corrosion of Titanium in Oral Biofilm,"Camargo, SEA and Roy, T and Xia, X and Fares, C and Hsu, SM and Ren, F and Clark, AE and Neal, D and Esquivel-Upshaw, JF","Materials (Basel, Switzerland)",2021,1,12,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"Benchtop,CellCulture",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"Camargo, S 2021b",10.3390/ma14164357,34442878,Nanostructured Surfaces to Promote Osteoblast Proliferation and Minimize Bacterial Adhesion on Titanium,"Camargo, SEA and Xia, X and Fares, C and Ren, F and Hsu, SM and Budei, D and Aravindraja, C and Kesavalu, L and Esquivel-Upshaw, JF","Materials (Basel, Switzerland)",2021,8,4,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,CellCulture,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Cappi, B 2010",10.1002/jbm.a.32527,19484770,Cytocompatibility of high strength non-oxide ceramics,"Cappi, B and Neuss, S and Salber, J and Telle, R and Knuchel, R and Fischer, H",Journal of biomedical materials research. Part A,2010,3,1,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"Fabrication,CellCulture,ExVivo",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"Carrie, D 2007",10.1111/j.1540-8183.2001.tb00702.x,12053317,Initial and follow-up results of the Tenax coronary stent,"Carrie, D and Khalifé, K and Hamon, M and Citron, B and Monassier, JP and Sabatier, R and Lipiecky, J and Mourali, S and Sarfaty, L and Elbaz, M and Fourcade, J and Puel, J",Journal of interventional cardiology,2007,6,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,"Fabrication,MaterialProperties,CellCulture,InVivo_Human",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"Chandrasekhar, J 2020",10.1016/j.jcin.2019.11.023,32273094,1-Year Clinical Outcomes of All Comers Treated With 2 Bioresorbable Polymer-Coated Sirolimus-Eluting Stents: Propensity Score-Matched Comparison of the COMBO and Ultrathin-Strut Orsiro Stents,"Chandrasekhar, J and Kok, MM and Kalkman, DN and Aquino, MB and Zocca, P and Woudstra, P and Beijk, MA and Kerkmeijer, LS and Sartori, S and Baber, U and Tijssen, JG and Koch, KT and Dangas, GD and Colombo, A and Pocock, S and von Birgelen, C and Mehran, R and de Winter, RJ",JACC. Cardiovascular interventions,2020,4,13,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,InVivo_Animal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chen, F 2018",10.1016/j.biomaterials.2018.06.027,29980075,Cellular toxicity of silicon carbide nanomaterials as a function of morphology,"Chen, F and Li, G and Zhao, ER and Li, J and Hableel, G and Lemaster, JE and Bai, Y and Sen, GL and Jokerst, JV",Biomaterials,2018,6,22,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Biosensors,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,CellCulture",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
